1311,sardis chicken iv,fast food,2016-05-23T00:00:00.000,critical violations observed,20743,8811 hampton mall dr north,stavros koudellou
586,glassmanor elementary school,public school,2016-05-24T00:00:00.000,compliant - no health risk,20745,1011 marcy ave,mark fossett
391,dash in,gas station store,2016-05-24T00:00:00.000,critical violations observed,20772,15501 marlboro pike,harjinder singh
542,fresh deli,deli,2016-05-24T00:00:00.000,compliant - no health risk,20785,4301 garden city dr,kevin watts
34,america's best bistro,carry-out,2016-05-24T00:00:00.000,compliant - no health risk,20748,4277 branch ave,kabir patwary
1031,new york deli,full service,2016-05-24T00:00:00.000,critical violations observed,20740,4926 edgewood rd,ashleigh williams
953,martin's crosswinds,full service,2016-05-24T00:00:00.000,------,20770,7400 greenway center dr,joseph mburu
853,landover hills exxon,gas station store,2016-05-24T00:00:00.000,critical violations observed,20784,6579 annapolis rd,balvir singh
1040,north american seafood,carry-out,2016-05-24T00:00:00.000,compliant - no health risk,20785,7610 landover rd,hyo kim
20,al's deli supreme,carry-out,2016-05-24T00:00:00.000,compliant - no health risk,20772,14703 main st,nikolaos doulaveris
546,fuji mountain steak house,full service,2016-05-24T00:00:00.000,critical violations observed,20748,4237 branch ave,yi qing zhang
470,el taco rico,carry-out,2016-05-24T00:00:00.000,------,20770,6056 greenbelt rd,satinder singh bakshi
366,crazy down home seafood,carry-out,2016-05-24T00:00:00.000,------,20748,2312 iverson st,kyung nam kim
39,america's best wing's,fast food,2016-05-24T00:00:00.000,------,20748,7126 temple hill rd,parveen begum
2188,seven eleven 25266b,convenience store,2016-05-24T00:00:00.000,critical violations observed,20782,3737 hamilton st,taiwo animashaun
1919,mi cantoncito carryout,carry-out,2016-05-24T00:00:00.000,compliant - no health risk,20744,8005 indian head hwy,neftali vasquez
1443,subway 33786,fast food,2016-05-24T00:00:00.000,compliant - no health risk,20743,1448 addison rd south,mohammed mokaddem
1305,sammy's carryout,carry-out,2016-05-24T00:00:00.000,critical violations observed,20781,3809 hamilton st,xue chen
2318,the store,grocery store,2016-05-24T00:00:00.000,------,20781,3811 hamilton st,andy kim
2228,seven eleven 11642b,convenience store,2016-05-24T00:00:00.000,critical violations observed,20740,4921 edgewood rd,eaba yadota
3195,gee's country kitchen,full service,2016-05-24T00:00:00.000,------,20781,3415 52nd ave,geneva curry
3195,gee's country kitchen,full service,2016-05-24T00:00:00.000,------,20781,3415 52nd ave,geneva curry
363,crab line,seafood,2016-05-25T00:00:00.000,------,20747,7607 marlboro pike,song pak
825,knights of columbus,private club,2016-05-25T00:00:00.000,------,20747,3611 stewart rd,diane smith
521,foolee's carryout restaurant,carry-out,2016-05-25T00:00:00.000,critical violations observed,20772,9524 crain hwy,tom chiu
537,francis t evans elementary school,public school,2016-05-25T00:00:00.000,------,20735,6720 old alexandria ferry rd,mark fossett
266,checkers,carry-out,2016-05-25T00:00:00.000,critical violations observed,20747,6401 marlboro pike,jay smith
1033,nicholas deli,carry-out,2016-05-25T00:00:00.000,critical violations observed,20748,4410 stamp rd,jung s no
877,ledo pizza & pasta,fast food,2016-05-25T00:00:00.000,critical violations observed,20745,4925 indian head hwy,mohammad uddin
398,dematha catholic high school,private school,2016-05-25T00:00:00.000,------,20781,4313 madison st,dan macmahon
597,golden china,carry-out,2016-05-25T00:00:00.000,compliant - no health risk,20748,4620 st barnabas rd,zhao w chen
1655,wendys 6626,fast food,2016-05-25T00:00:00.000,------,20607,7099 berry rd,james schwartz
1425,subway,fast food,2016-05-25T00:00:00.000,compliant - no health risk,20772,9522 crain hwy,john huang
1103,parkside carryout,carry-out,2016-05-25T00:00:00.000,critical violations observed,20705,11890 old baltimore pike,mi kyung kim
1792,charles carroll middle school,public school,2016-05-25T00:00:00.000,------,20784,6130 lamont dr,mark fossett
1645,wendys 6516,fast food,2016-05-25T00:00:00.000,compliant - no health risk,20747,5425 silver hill rd,james schwartz
